id,host_id,neighbourhood_cleansed,price_cleaned,Term
786852847114140309,434168399,Vadhana,3125.00,Short Term
928084229965922103,434168399,Vadhana,1500.00,Short Term
661269624122755010,98598351,Vadhana,3600.00,Short Term
29194706,219996296,Vadhana,75000.00,Short Term
965578850090034174,274026012,Vadhana,1059.00,Short Term
28803196,45791084,Vadhana,1500.00,Short Term
874825578329764273,192938854,Vadhana,2000.00,Short Term
957741246984793629,13541611,Vadhana,10000.00,Short Term
819324892395634277,25747986,Vadhana,1500.00,Long Term
42503218,338476149,Vadhana,3000.00,Short Term
977468173958899190,525477010,Vadhana,1592.00,Long Term
963485057242350374,403010183,Vadhana,4500.00,Long Term
810005430563394182,402093105,Vadhana,816.00,Short Term
963438104079542607,403010183,Vadhana,14000.00,Long Term
810059052478156022,402093105,Vadhana,791.00,Short Term
615718698161007972,455923954,Vadhana,4436.00,Short Term
8214376,34249896,Vadhana,1500.00,Short Term
942659506725032725,264729742,Vadhana,3199.00,Short Term
810014199010924352,497376331,Vadhana,2000.00,Long Term
25757344,193573729,Vadhana,1808.00,Short Term
810034203629641849,402093105,Vadhana,817.00,Short Term
894712703285189816,509678884,Vadhana,4456.00,Short Term
913496747956034460,341188013,Vadhana,1353.00,Short Term
978708071832642306,402093105,Vadhana,6967.00,Short Term
41891106,331260724,Vadhana,3311.00,Short Term
984519764501794014,538012114,Vadhana,1200.00,Short Term
958043994952735942,514687093,Vadhana,1099.00,Short Term
41844353,273716848,Vadhana,1700.00,Short Term
750450958132768277,21393261,Vadhana,1300.00,Short Term
966807580941293409,3076208,Vadhana,1350.00,Short Term
756228586022349526,39133887,Vadhana,1500.00,Long Term
876519595921572405,483532042,Vadhana,4101.00,Short Term
894709677324728263,509678884,Vadhana,4011.00,Short Term
556831949234573490,440804529,Vadhana,1700.00,Long Term
771399437197725635,46607005,Vadhana,2050.00,Short Term
810094923250448896,402093105,Vadhana,828.00,Short Term
22243750,81703942,Vadhana,1490.00,Short Term
970752342730297624,534948102,Vadhana,3200.00,Short Term
969950181118861044,503928815,Vadhana,1600.00,Short Term
978720051759911963,506075785,Vadhana,6967.00,Short Term
810038929851339681,402093105,Vadhana,817.00,Short Term
39218944,270442733,Vadhana,10000.00,Short Term
39219425,270442733,Vadhana,10000.00,Short Term
39218287,270442733,Vadhana,10000.00,Short Term
802200425139531739,157804575,Vadhana,1600.00,Short Term
861500001675128757,94899359,Vadhana,2080.00,Short Term
888959988754969780,506075785,Vadhana,801.00,Short Term
810079921462323308,402093105,Vadhana,801.00,Short Term
17580854,9252797,Vadhana,2300.00,Long Term
42181585,21348778,Vadhana,3800.00,Long Term
958334150572244759,402093105,Vadhana,5482.00,Short Term
810002826387536993,402093105,Vadhana,791.00,Short Term
876510034881335426,483532042,Vadhana,2841.00,Short Term
810036479813136523,402093105,Vadhana,791.00,Short Term
978068622830444191,536577501,Vadhana,1192.00,Short Term
27266462,378180502,Vadhana,2142.00,Short Term
925456589291661144,50661571,Vadhana,4050.00,Short Term
919834052227277148,521511571,Vadhana,520.00,Short Term
810019259714876721,402093105,Vadhana,816.00,Short Term
23795444,178566116,Vadhana,1912.00,Short Term
17411373,45374552,Vadhana,1627.00,Long Term
