id,host_id,neighbourhood_cleansed,room_type,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,Group_rating_score,Group_scores_accuracy,Group_scores_cleanliness,Group_scores_communication,Group_score_location
933142365121820021,485526097,Sathon,Entire home/apt,6,5,5,5,4.83,5,4.83,Excellence,Excellence,Excellence,Excellence,Excellence
918549847929136637,469098983,Phra Nakhon,Entire home/apt,9,5,4.78,4.67,4.89,4.89,5,Excellence,Excellence,Excellence,Excellence,Excellence
10935422,26575230,Sai Mai,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
41159124,302224694,Bang Na,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
850600275018001945,227771817,Huai Khwang,Entire home/apt,8,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
751779430934701917,154517750,Phra Nakhon,Shared room,5,5,5,4.8,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
28726848,89252726,Khlong Toei,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
937527638536525460,510890751,Khlong Toei,Entire home/apt,3,5,5,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
938788316426499973,510890751,Khlong Toei,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
18314680,6906718,Phra Khanong,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
684466371619329764,446996578,Vadhana,Entire home/apt,12,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
39096587,219977563,Wang Thong Lang,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
701132950426181752,139189243,Vadhana,Entire home/apt,3,5,4.67,5,4.67,4.67,4.33,Excellence,Excellence,Excellence,Excellence,Good
816338825566867369,227771817,Huai Khwang,Entire home/apt,11,5,5,4.82,4.73,4.64,4.82,Excellence,Excellence,Excellence,Excellence,Excellence
16429841,6906718,Phra Khanong,Private room,11,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
958552885515519729,187199487,Khlong Toei,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
40185910,129954178,Phaya Thai,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
14639314,6906718,Phra Khanong,Private room,14,5,5,5,5,5,4.86,Excellence,Excellence,Excellence,Excellence,Excellence
16501350,6906718,Phra Khanong,Private room,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
20059207,5325919,Phasi Charoen,Private room,7,5,5,5,5,4.71,4.71,Excellence,Excellence,Excellence,Excellence,Excellence
40947735,31558154,Bang Na,Entire home/apt,19,5,5,4.95,5,5,4.63,Excellence,Excellence,Excellence,Excellence,Excellence
22365809,108793,Chatu Chak,Entire home/apt,21,5,4.95,4.95,5,5,4.9,Excellence,Excellence,Excellence,Excellence,Excellence
44330249,267746594,Khlong Toei,Entire home/apt,14,5,4.86,4.93,4.93,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
896159051401992415,267746594,Khlong Toei,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
15651520,45415593,Bang Rak,Private room,23,5,4.91,4.96,4.91,4.91,4.91,Excellence,Excellence,Excellence,Excellence,Excellence
938776357933413474,510890751,Khlong Toei,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
818010566729536652,372995461,Wang Thong Lang,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
840129876545683440,385694484,Chatu Chak,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
890562641880086928,479640508,Bang Rak,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
897661978894891559,510890751,Khlong Toei,Entire home/apt,3,5,5,4.67,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
780316548409242069,372995461,Wang Thong Lang,Private room,2,5,4.5,4.5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
562522878121990334,240343545,Vadhana,Entire home/apt,5,5,5,5,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
840048981500637008,183743871,Bang Rak,Entire home/apt,8,5,5,5,4.88,4.88,4.88,Excellence,Excellence,Excellence,Excellence,Excellence
43288688,273690888,Don Mueang,Private room,10,5,5,5,4.9,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
798179210960077017,143635252,Huai Khwang,Entire home/apt,10,5,5,5,4.9,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
867398720045937295,226646586,Bang Phlat,Private room,10,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
48233021,354561299,Phra Nakhon,Private room,15,5,4.87,4.8,4.93,4.93,5,Excellence,Excellence,Excellence,Excellence,Excellence
822930247695922440,473454250,Din Daeng,Entire home/apt,5,5,5,5,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
39404478,201677068,Thung khru,Entire home/apt,5,5,5,5,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
37522339,272358230,Bang Phlat,Entire home/apt,4,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
770727998575822524,479640508,Bang Rak,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
17449731,31558154,Bang Na,Entire home/apt,9,5,5,5,4.89,5,4.78,Excellence,Excellence,Excellence,Excellence,Excellence
702356138806647017,240603715,Suanluang,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
799888291831532527,290980959,Chom Thong,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
52947009,27650540,Bang Rak,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
25435163,25823150,Lat Phrao,Entire home/apt,9,5,5,5,5,5,4.56,Excellence,Excellence,Excellence,Excellence,Excellence
17441613,114343279,Phra Nakhon,Entire home/apt,6,5,4.83,5,5,5,4.83,Excellence,Excellence,Excellence,Excellence,Excellence
660425375034623786,268046710,Vadhana,Entire home/apt,11,5,5,4.91,5,4.82,4.73,Excellence,Excellence,Excellence,Excellence,Excellence
958432268544384403,99699029,Vadhana,Entire home/apt,2,5,4.5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
769547794328347464,151103159,Vadhana,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
895364240214769486,511426937,Bang Sue,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
891187319781970695,368767736,Ratchathewi,Private room,3,5,5,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
862918253996487280,19266319,Vadhana,Entire home/apt,5,5,5,5,5,5,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
17348034,18478154,Huai Khwang,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
53097580,172820753,Huai Khwang,Entire home/apt,8,5,5,4.88,4.88,4.75,4.75,Excellence,Excellence,Excellence,Excellence,Excellence
45320435,235117744,Huai Khwang,Entire home/apt,7,5,4.86,5,4.86,5,4.71,Excellence,Excellence,Excellence,Excellence,Excellence
28193991,42174341,Ratchathewi,Private room,7,5,5,5,5,4.86,5,Excellence,Excellence,Excellence,Excellence,Excellence
25017848,55609836,Vadhana,Entire home/apt,9,5,5,5,4.89,5,4.89,Excellence,Excellence,Excellence,Excellence,Excellence
18760150,15982847,Phra Nakhon,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
957536710518358881,133849226,Huai Khwang,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
30792632,117057915,Bang Phlat,Private room,5,5,5,4.8,4.8,4.8,4.4,Excellence,Excellence,Excellence,Excellence,Good
17440739,114343279,Phra Nakhon,Private room,5,5,5,4.8,5,5,4.6,Excellence,Excellence,Excellence,Excellence,Excellence
622268235350357286,27647843,Phra Khanong,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
39572992,51374673,Vadhana,Private room,11,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
38764394,4474838,Khlong San,Entire home/apt,8,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
765775221935391694,20133201,Sathon,Entire home/apt,2,5,5,4.5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
754272317362995205,479640508,Bang Rak,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
40109859,162537040,Sathon,Entire home/apt,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
809983401150432476,115890580,Taling Chan,Entire home/apt,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
10670207,39526399,Chatu Chak,Private room,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
36873438,6308634,Phasi Charoen,Entire home/apt,3,5,5,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
862129918649166893,227771817,Huai Khwang,Entire home/apt,3,5,4.67,4,5,5,5,Excellence,Excellence,Good,Excellence,Excellence
35482220,106729537,Vadhana,Entire home/apt,23,5,5,5,5,5,4.91,Excellence,Excellence,Excellence,Excellence,Excellence
819553584591323079,227771817,Huai Khwang,Entire home/apt,4,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
738999379037795693,21393261,Huai Khwang,Entire home/apt,4,5,5,4.75,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
23342582,91097901,Vadhana,Private room,7,5,4.86,4.86,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
21610858,140752742,Huai Khwang,Private room,13,5,5,4.69,5,5,4.62,Excellence,Excellence,Excellence,Excellence,Excellence
893103481485490820,511426937,Bang Sue,Entire home/apt,3,5,4.67,4.33,5,5,4.33,Excellence,Excellence,Good,Excellence,Good
833804185087661421,500877320,Huai Khwang,Private room,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
40387742,312191361,Bangkok Yai,Entire home/apt,4,5,5,5,5,5,4.75,Excellence,Excellence,Excellence,Excellence,Excellence
14658316,23759018,Huai Khwang,Private room,5,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
4682485,15982847,Phra Nakhon,Shared room,2,5,5,4.5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
20058402,78731028,Vadhana,Entire home/apt,3,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
835217951733104857,446996578,Ratchathewi,Entire home/apt,5,5,5,5,4.4,4.8,4.8,Excellence,Excellence,Excellence,Excellence,Excellence
937879584973632354,510890751,Khlong Toei,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
812252648618131031,385694484,Chatu Chak,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
11496230,60178359,Vadhana,Private room,6,5,5,5,5,5,4.83,Excellence,Excellence,Excellence,Excellence,Excellence
53867566,240343545,Vadhana,Entire home/apt,2,5,5,5,4.5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
4344588,6906718,Phra Khanong,Private room,11,5,5,5,4.6,5,4.7,Excellence,Excellence,Excellence,Excellence,Excellence
802424949117466793,302224694,Bang Na,Private room,3,5,5,5,4.67,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
788687430580578894,385694484,Chatu Chak,Private room,3,5,5,4.67,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
804146651390005823,261952180,Huai Khwang,Entire home/apt,11,5,4.91,4.91,4.91,5,4.64,Excellence,Excellence,Excellence,Excellence,Excellence
896623722007121984,19086286,Din Daeng,Entire home/apt,15,5,5,4.93,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
937974949727782745,510890751,Khlong Toei,Entire home/apt,6,5,5,5,5,5,4.83,Excellence,Excellence,Excellence,Excellence,Excellence
10118814,6595261,Bang Kapi,Entire home/apt,2,5,5,4,5,5,4,Excellence,Excellence,Good,Excellence,Good
683905461630216526,47162319,Bang Khae,Private room,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
28124578,85407460,Bueng Kum,Private room,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
551238249297943171,396432721,Bang Sue,Entire home/apt,2,5,5,5,4.5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
830016393128195155,215794729,Bang Sue,Entire home/apt,12,5,4.92,5,5,5,4.67,Excellence,Excellence,Excellence,Excellence,Excellence
22709500,140752742,Huai Khwang,Private room,5,5,5,4.8,5,5,4.6,Excellence,Excellence,Excellence,Excellence,Excellence
762578571172294581,385694484,Chatu Chak,Private room,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
927993605531844051,522826779,Lat Krabang,Private room,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
15919203,4117536,Ratchathewi,Private room,3,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
944458980383571703,368646484,Khlong Toei,Entire home/apt,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
30721292,219983414,Khlong Toei,Private room,2,5,5,5,5,5,4.5,Excellence,Excellence,Excellence,Excellence,Excellence
735423390621612198,479640508,Bang Rak,Entire home/apt,19,5,4.95,5,4.84,5,4.89,Excellence,Excellence,Excellence,Excellence,Excellence
808375311617473275,10772928,Suanluang,Entire home/apt,2,5,5,5,5,5,5,Excellence,Excellence,Excellence,Excellence,Excellence
